Item,Quantity,Price
dish6,10,40
dish3,3,50
dish1,2,45
dish5,1,50
dish9,12,45
dish2,10,85
dish2,8,80
dish10,4,85
dish5,4,45
dish8,1,60
dish8,8,50
dish6,3,65
dish7,3,60
dish1,8,60
dish10,9,40
dish10,1,85
dish4,7,80
dish4,4,65
dish4,10,65
dish8,1,45
dish5,1,85
dish1,12,85
dish2,4,90
dish8,12,50
dish3,12,80
dish2,4,55
dish3,7,50
dish7,5,40
dish6,2,30
dish8,4,55
dish8,12,45
dish1,4,80
dish5,12,45
dish7,8,55
dish10,3,90
dish8,5,80
dish7,1,50
dish5,2,50
dish2,5,55
dish3,7,50
dish7,2,90
dish9,8,85
dish5,5,80
dish8,9,50
dish6,2,90
dish7,4,45
dish7,2,40
dish5,1,85
dish8,9,90
dish3,2,50
dish7,10,50
dish8,8,55
dish10,2,85
dish7,12,60
dish9,3,55
dish10,8,85
dish5,12,90
dish3,7,65
dish1,3,90
dish10,10,45
dish10,2,80
dish9,7,45
dish7,10,30
dish8,4,65
dish8,4,60
dish8,8,65
dish6,12,55
dish5,1,45
dish10,3,65
dish4,7,60
dish3,5,45
dish5,7,65
dish9,12,60
dish10,7,90
dish5,5,40
dish6,2,50
dish9,8,85
dish3,12,50
dish1,3,50
dish8,8,40
dish4,8,30
dish5,7,80
dish2,12,30
dish4,12,60
dish4,10,30
dish7,1,80
dish5,9,80
dish1,10,85
dish1,5,40
dish4,10,55
dish1,8,60
dish2,2,45
dish5,2,50
dish10,10,45
dish1,3,60
dish1,10,80
dish7,2,65
dish3,4,50
dish1,5,40
dish10,3,55
