Dish Name;Number of Order;Price per item;Total Bill Amount
dish1;5;30;150
dish2;4;40;160
dish4;4;60;240
dish6;2;80;160
dish3;4;50;200
dish1;5;30;150
dish1;3;30;90
dish3;2;50;100
dish5;1;45;45
dish4;2;60;120
dish3;5;50;250
dish2;3;40;120
dish5;2;45;90
dish6;4;80;320
dish1;5;30;150
dish2;3;40;120
dish3;2;50;100
dish3;3;50;150
dish4;2;60;120
dish5;5;45;225
dish6;4;80;320
dish3;3;50;150
dish2;30;40;1200
dish6;10;80;800
dish1;1;30;30
dish4;1;60;60
dish5;1;45;45
dish5;1;45;45
dish5;1;45;45
dish4;1;60;60
dish1;1;30;30
dish1;1;30;30
dish2;2;40;80
dish4;3;60;180
