Item,Quantity,Price
dish1,2,50
dish1,1,80
dish1,8,90
dish9,12,60
dish5,7,80
dish6,1,40
dish9,4,50
dish9,9,30
dish1,12,65
dish3,7,65
dish5,7,80
dish10,8,85
dish4,7,30
dish4,7,85
dish1,5,60
dish7,1,30
dish5,4,80
dish8,2,40
dish5,4,80
dish8,9,55
dish10,10,55
dish3,9,60
dish8,1,30
dish3,12,45
dish10,4,90
dish1,3,30
dish3,7,45
dish5,12,55
dish1,3,40
dish3,2,90
dish7,1,85
dish1,7,65
dish7,2,90
dish6,12,85
dish5,7,80
dish1,2,90
dish5,4,55
dish1,12,80
dish1,8,85
dish10,1,85
dish6,8,80
dish7,8,45
dish7,5,65
dish10,4,90
dish4,10,80
dish2,8,45
dish6,5,30
dish9,5,55
dish3,2,90
dish1,3,30
dish7,5,65
dish4,10,90
dish4,8,60
dish5,4,55
dish2,4,45
dish10,2,85
dish6,3,90
dish9,1,40
dish3,12,40
dish2,1,50
dish10,3,80
dish3,7,30
dish4,4,60
dish2,7,90
dish4,8,30
dish5,5,65
dish4,5,65
dish8,3,40
dish9,4,60
dish8,5,80
dish4,8,30
dish4,2,80
dish6,3,90
dish4,4,90
dish2,2,90
dish5,12,40
dish5,9,40
dish1,1,40
dish6,12,40
dish3,4,85
dish8,9,65
dish2,8,90
dish3,12,45
dish6,7,45
dish6,10,90
dish5,2,90
dish3,12,90
dish4,3,30
dish5,3,30
dish8,4,60
dish7,2,55
dish6,12,45
dish5,3,45
dish9,10,85
dish6,1,65
dish4,8,55
dish8,5,85
dish6,1,65
dish8,4,55
dish2,1,60
